key,text,source_ko
ui.Main_Single_Play,单人游戏,싱글 플레이
ui.Main_Multi_Play,多人游戏,멀티 플레이
ui.Main_New_Game,从头开始,처음부터 시작
ui.Main_Continue,继续,이어하기
ui.Main_Multi_CreateRoom,创建房间,방 만들기
ui.Main_Encyclopedia,图鉴,백과사전
ui.Main_Settings,设置,환경설정
ui.Main_Quit,退出游戏,게임 종료
ui.Settings_Full_Screen,全屏,전체 화면
ui.Settings_Apply,应用,적용
ui.Settings_Display,显示,디스플레이
ui.Settings_Resolution,分辨率,해상도
ui.Settings_Screen_Mode,屏幕模式,화면 모드
ui.Settings_Borderless_Window,无边框窗口,전체 창 모드
ui.Settings_Windowed,窗口模式,창 모드
ui.LabelGeork,格奥尔克,게오르크
ui.LabelEris,艾莉丝,에리스
ui.LabelDanhyang,丹香,단향
ui.Room_Ready,准备,준비
ui.Room_Select_Cancel,取消,취소
ui.Room_Start,开始,시작
ui.Room_Send,发送,전송
ui.Room_Placeholder,请输入消息。,메세지를 입력하세요.
markup.multi_hit,{damage}点伤害×{hits}次,{damage} {hits}번
ui.MapInfoPopUpItem.TextRewardTitle,奖励,보상
ui.MapInfoPopUpItem.TextRewardDetail,奖励内容,보상 내용
ui.NPC_Mercurius.ButtonConsumable_Label,消耗品,소모품
ui.NPC_Mercurius.ButtonEquipment_Label,装备,장비
ui.NPC_Mercurius.ButtonCraft_Label,合成,합성
ui.NPC_RyuJinSol.ButtonSortie_Label,出征,출정
ui.NPC_RyuJinSol.ButtonGiveGold_Label,转交金币\n,골드 전달\n
ui.NPC_ShadowMan.ButtonSkillReset_Label,技能重置,스킬 초기화
ui.NPC_ShadowMan.Button1_Label,按钮,버튼
ui.NPC_ShadowMan.Button2_Label,按钮,버튼
ui.NPC_Sophia.ButtonSave_Label,保存,저장
ui.NPC_Sophia.ButtonPray_Label,祈祷,기도
ui.MapPlayer.TextSwap,变更位置,위치 변경
ui.MapPlayer.ButtonDeckInfo_Label,牌组信息,덱 정보
ui.ForgottenDeckListPopUp.TextDeckListTitle,遗忘堆,잊혀진 덱
ui.PrefareDeckListPopUp.TextDeckListTitle,抽牌堆,뽑을 덱
ui.TrashDeckListPopUp.TextDeckListTitle,弃牌堆,버린 덱
ui.Game.TextHazardTitle,危险度\n,위험도\n
ui.Game.TextDeadLine,距离扭曲,뒤틀림까지
ui.Game.TextArea,沿岸\n,연안\n
ui.Game.TextRegionInfo,据点区域信息\n,거점 지역 정보\n
ui.Game.TextRegionGrade,据点区域信息 : \n,거점 지역 정보 : \n
ui.Game.TextRegionDetail,据点区域内容 :,거점 지역 내용 :
ui.Game.TextEndTurn,结束回合,턴 종료
ui.Game.TextDanger,危险度\n,위험도\n
ui.Game.TextDeadLine_2,距离扭曲,뒤틀림까지
ui.Game.TextArea_2,沿岸\n,연안\n
ui.Game.TextTitle,确认卡牌 : 请选择要弃掉的牌,카드 확인 : 버릴 카드를 선택하십시오
ui.Game.TextRemoveConfirm,确认,확인
ui.Game.TitleText,战利品,전리품
ui.Game.TitleText_2,请选择卡牌,카드를 선택하십시오
ui.Game.ButtonSkip_Label,跳过,넘기기
ui.Game.TitleText_3,请选择卡牌,카드를 선택하십시오
ui.Game.ButtonSkip_Label_2,跳过,넘기기
ui.Game.TitleText_4,请选择卡牌,카드를 선택하십시오
ui.Game.ButtonSkip_Label_3,跳过,넘기기
ui.Game.ButtonReturnMenuScene_Label,返回主菜单,메인 메뉴로 돌아가기
ui.Game.TextDeckListTitle,强化卡牌,카드 강화
ui.Game.ButtonEnhanceOk_Label,强化,강화
ui.Game.ButtonEnhanceCancel_Label,取消,취소
ui.Game.TextDeckListTitle_2,移除卡牌,카드 제거
ui.Game.ButtonCardRemoveOk_Label,移除,제거
ui.Game.ButtonCardRemoveCancel_Label,取消,취소
ui.Game.TitleBackground_Label,请选择要回复体力的角色。,체력을 회복할 캐릭터를 선택하세요.
ui.Game.TitleBackground_Label_2,请选择要转交金币的角色。,골드를 넘겨줄 캐릭터를 선택하세요.
ui.Game.TextArea_Placeholder,请输入金币数量..,골드 금액을 입력하세요..
ui.Game.ButtonGiveGoldOk_Label,确认,확인
ui.Game.ButtonGiveGoldCancel_Label,取消,취소
ui.Game.ButtonSelectSubmit_Label,确 认,확 인
ui.Game.TextTitle_2,遗忘堆,잊혀진 덱
ui.Game.TextTitle_3,弃牌堆,버린 덱
ui.Game.ButtonSelectSubmit_Label_2,确 认,확 인
ui.Game.ButtonOpenDeckBook_Label,牌组图鉴,덱 북
ui.Game.ButtonCardEnhance_Label,强化卡牌,카드 강화
ui.Game.ButtonGeorkTransform_Label,变身！,변신!
ui.Game.ButtonSave_Label,存档,세이브
ui.Menu.TextArea_Placeholder,卡牌名称,카드 이름
ui.Menu.ButtonSearch_Label,搜索\n,검색\n
ui.Menu.TextArea_Placeholder_2,卡牌名称,카드 이름
ui.Menu.ButtonSearch_Label_2,搜索\n,검색\n
ui.Menu.TextArea_Placeholder_3,卡牌名称,카드 이름
ui.Menu.ButtonSearch_Label_3,搜索\n,검색\n
ui.msg.battle_boss,战斗 : 首领,전투 : 보스
ui.msg.battle_normal,战斗 : 普通怪物,전투 : 일반 몬스터
ui.msg.battle_elite,战斗 : 精英怪物,전투 : 엘리트 몬스터
ui.msg.event_positive,正面事件,긍정적 이벤트
ui.msg.event_negative,负面事件,부정적 이벤트
ui.msg.camp,前哨基地,전초기지
ui.msg.hub,据点,거점
ui.msg.hub_healed,已恢复生命值。,체력을 회복했습니다.
ui.msg.card_shop,卡牌商店,카드 상점
ui.msg.item_shop,道具商店,아이템 상점
ui.msg.map_boss_appeared,首领已在地图上出现。,맵에 보스가 출현 했습니다.
ui.msg.gold_input_invalid,请正确输入金币数量。,골드 금액을 정확하게 입력하세요.
ui.deck.multi_select_explanation,请从遗忘堆中选择 <color=green>1</color> 张牌，从弃牌堆中选择 <color=red>1</color> 张牌。,"""잊혀진 덱에서 카드 <color=green>1</color> 장, 버린 덱에서 카드 <color=red>1</color> 장을 선택하세요."""
ui.deck.select_explanation,请选择 <color=green>{0}</color> 张牌。\n( 左键点击选择，右键点击取消。 ),"""카드를 <color=green>{0}</color> 장 선택하세요.\n( 마우스 왼쪽 버튼 클릭 시 선택, 오른쪽 버튼 클릭 시 해제 됩니다. )"""
ui.hazard.same,危险度相同,위험도 동일
ui.hazard.up,危险度上升,위험도 증가
ui.hazard.down,危险度下降,위험도 감소
ui.msg.swap_accepted,位置交换请求已被接受。,위치 교환 요청이 수락되었습니다.
ui.msg.swap_rejected,位置交换请求已被拒绝。,위치 교환 요청이 거절되었습니다.
