info,name,description
이치,이치,카드를 사용할 수 있는 비용
흐르는이치의샘,흐르는 이치의 샘,이치를 가지고 있는 샘
흐르는샘,흐르는 이치의 샘,이치를 가지고 있는 샘
메마른이치의샘,메마른 이치의 샘,턴 시작시 이치를 생성하는 샘
메마른샘,메마른 이치의 샘,턴 시작시 이치를 생성하는 샘
방어,방어,맞으면 공격을 차감하며 다음턴시 소멸
구원,구원,자신을 제외한 아군에게 사용시 효과가 2배가 됨
영원,영원,카드를 사용하지 않아도 버린 덱으로 가지않고 패에 유지
근원,근원,게임 시작시 덱 위에 있음
찰나,찰나,카드를 사용시 잊혀진 덱으로 보내짐
해방,해방,카드를 사용시 이 카드의 비용 이번 전투 동안 1 감소
중력,중력,이 카드를 사용시 이 카드의 비용 이번 전투 동안 1증가
숙련,숙련,이 카드를 사용시 이 카드의 비용 이번 전투 동안 1감소
붕괴,붕괴,공격 피해를 입을 때 50%(소수점 버림)의 피해를 추가로 입는다
쇠락,쇠락,공격 피해를 입힐 때 25%(소수점 버림) 만큼 줄어든다.
힘의이치,힘의 이치,카드로 주는 피해량이 힘의 이치의 수치 만큼 증가/ 감소
방어의이치,방어의 이치,카드로 주는 방어량이 방어의 이치의 수치 만큼 증가/ 감소
전진,전진,앞으로 한칸 가고 그 위치에 아군과 바꿉니다.
후퇴,후퇴,뒤로 한간 가고 그 위치에 아군과 바꿉니다.
뽑을덱,뽑을 덱,드로우 할 카드 덱
버린덱,버린 덱,사용하거나 버려진 카드 덱
버려진덱,버린 덱,사용하거나 버려진 카드 덱
잊혀진덱,잊혀진 덱,찰나로 보내진 카드 덱
꽃가루,꽃가루,아군과 적 모두에게 걸수 있으며 턴종료 후 스택 수 만큼 아군에게 방어력 적에겐 피해 준 후 1 스택 감소합니다. 
개화,개화,꽃가루 만큼 개화 되며 아군은 받는 피해 개화 만큼 감소 로 받습니다. 적군은 받는 피해 개화 만큼 증가 합니다. 피격시 나 턴종료시 사라집니다.
화합,화합,효과 발동시 철귀 위치에 철귀의 패시브(공격 방어)가 발동됩니다.
기사도,기사도,자신을 공격하려는 적에게 공격을 성공하면 기사도 효과가 나타납니다
압도,압도,압도가 8 모이면 압도를 제거하고 적의 행동을 한 턴 미루게 합니다. 압도 성공시 필요한 압도는 N 배가 됩니다.
은하수,은하수,전에 사용한 카드가 같은 종류의 카드라면 비용이 1 감소 . 아니라면 비용이 1 증가합니다.
별무리,별무리,다음에 쓰는 카드에 효과를 부여하고 별무리 스택 1 제거합니다. 공격 = 준 피해 절반 방어  전략 = 사용 후 다시 패 그 외 카드 = 비용 2감소
